cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2023-24818,RIOT-OS_RIOT,"0bec3e2
17c70f7
aa27ed7
4b23d93
f4df5b4
f4fb746",,"{'0bec3e245ed3815ad6c8cae54673f0021777768b': ['f4df5b4c4f841ccb460930894cf68ab10b55b971'], '17c70f7ee0b1445f2941f516f264ed4a096e82b7': ['4b23d93868a28edd8ebf2ff4ebe94540f2475008'], 'aa27ed71fa3e5d48dee1748dcf27b6323ec98a33': ['f4fb746d1acaacc962daeed3aa71aadfe307d20e']}",,,,"['0bec3e245ed3815ad6c8cae54673f0021777768b', '17c70f7ee0b1445f2941f516f264ed4a096e82b7', 'aa27ed71fa3e5d48dee1748dcf27b6323ec98a33']"
CVE-2023-24820,RIOT-OS_RIOT,"2709fbd
d052e2e",,{'2709fbd827b688fe62df2c77c316914f4a3a6d4a': ['d052e2ee166e55bbdfe4c455e65dbd7e3479ebe3']},,,,
CVE-2023-24821,RIOT-OS_RIOT,"9728f72
bd31010",,{'9728f727e75d7d78dbfb5918e0de1b938b7b6d2c': ['bd31010231f5340e21410595dd95afc86bbfd341']},,,,
CVE-2023-24822,RIOT-OS_RIOT,"639c043
7253e26",,{'639c04325de4ceb9d444955f4927bfae95843a39': ['7253e261556f252816f4a3b7c4f96fc10d642485']},,,,
CVE-2023-24823,RIOT-OS_RIOT,"4a081f8
dafc397",,{'4a081f86616cb5c9dd0b5d7b286da03285d1652a': ['dafc397fdc3655aeb5c7b9963a43f1604c6a2062']},,,,
CVE-2023-25172,discourse_discourse,"1a5a6f6
c186a46",,"{""c186a46910431020e8efc425dec2133e7a99fa9a"": [""1a5a6f66cb821ed29a737311d6fdc2eba5adc915""]}",,,,
CVE-2023-25652,git_git,"18e2b1c
668f2d5",,,,,,"['18e2b1cfc80990719275d7b08e6e50f3e8cbc902', '668f2d53613ac8fd373926ebe219f2c29112d93e']"
CVE-2023-25671,tensorflow_tensorflow,"2eedc8f
760322a",,,,,,"['2eedc8f676d2c3b8be9492e547b2bc814c10b367', '760322a71ac9033e122ef1f4b1c62813021e5938']"
CVE-2023-26056,xwiki_xwiki-platform,"4b75f21
bd34ad6
dd3f473",,,,,"{'bd34ad6710ed72304304a3d5fec38b7cc050ef3b': ['4b75f212c2dd2dfc5fb5726c7830c6dbc9a425c6', 'dd3f4735b41971b3afc3f3aedf6664b4e8be4894']}",
CVE-2023-26141,sidekiq_sidekiq,"101435c
62c90d7","{""101435c5a73095ca62b610d5d6456e7e5dc7f81a"": [""62c90d7c5a7d8a378d79909859d87c2e0702bf89""]}",,,,,
CVE-2023-26153,geokit_geokit-rails,"7ffc581
a93dfe4","{""7ffc5813e57f6f417987043e1039925fd0865c43"": [""a93dfe49fb9aeae7164e2f8c4041450a04b5482f""]}",,,,,
CVE-2023-27586,Kozea_CairoSVG,"12d31c6
33007d4",,,,,,"['12d31c653c0254fa9d9853f66b04ea46e7397255', '33007d4af9195e2bfb2ff9af064c4c2d8e4b2b53']"
CVE-2023-28107,discourse_discourse,"0bd6478
78a3efa",,{'0bd64788d2b4680c04fbef76314a24884d65fed9': ['78a3efa7104eed6dd3ed7a06a71e2705337d9e61']},,,,
CVE-2023-28115,KnpLabs_snappy,"1ee6360
b66f793",{'b66f79334421c26d9c244427963fa2d92980b5d3': ['1ee6360cbdbea5d09705909a150df7963a88efd6']},,,,,
CVE-2023-28836,wagtail_wagtail,"5be2b1e
ff806ab",,,,,,"['5be2b1ed55fd7259dfdf2c82e7701dba407b8b62', 'ff806ab173a504395fdfb3139eb0a29444ab4b91']"
CVE-2023-29525,xwiki_xwiki-platform,"6d74e2e
8e7c7f9",,{'8e7c7f90f2ddaf067cb5b83b181af41513028754': ['6d74e2e4aa03d19f0be385ab63ae9e0f0e90a766']},,,,
CVE-2023-30545,PrestaShop_PrestaShop,"cddac41
d900806",,{'cddac4198a47c602878a787280d813f60c6c0630': ['d900806e1841a31f26ff0a1843a6888fc1bb7f81']},,,,
CVE-2023-30625,rudderlabs_rudder-server,"0d061ff
2f956b7
9c009d9",,,{'9c009d9775abc99e72fc470f4c4c8e8f1775e82a': ['0d061ff2d8c16845179d215bf8012afceba12a30']},,,"['2f956b7eb3d5eb2de3e79d7df2c87405af25071e', '9c009d9775abc99e72fc470f4c4c8e8f1775e82a']"
CVE-2023-30861,pallets_flask,"70f906c
afd63b1",,{'70f906c51ce49c485f1d355703e9cc3386b1cc2b': ['afd63b16170b7c047f5758eb910c416511e9c965']},,,,
CVE-2023-31128,nextcloud_cookbook,"489bb74
a46d985",,{'a46d98559e2c64292da9ffb06138cccc2e50ae1b': ['489bb744']},,,,
CVE-2023-32062,oroinc_OroCalendarBundle,"460a8ff
5f4734a",,{'5f4734aa02088191c1c1d90ac0909f48610fe531': ['460a8ffb63b10c76f2fa26d53512164851c4909b']},,,,
CVE-2023-32063,oroinc_OroCRMCallBundle,"456b1dd
9a41dff",,"{""456b1dda7762abf4ff59eafffaa70ab7f09d1c85"": [""9a41dff459bb4aff864175ca883d553ac0954950""]}",,,,
CVE-2023-32685,kanboard_kanboard,"26b6eeb
c9c1872",,,{'26b6eebb78d4306e48b836a58f7c386251aa2bc7': ['c9c187206700030c43493b80fd599b4d096cb713']},,,
CVE-2023-33176,bigbluebutton_bigbluebutton,"43394da
b18aff3",,{'b18aff32e65a47f1eb2c800e86dcfc7a8fb05e71': ['43394dade595d0707384e4878357901537352415']},,,,
